YearMonth,Category,total_orders,total_returns,return_rate
2019-01-01,Furniture,27,0,0.0
2019-01-01,Office Supplies,56,0,0.0
2019-01-01,Technology,26,0,0.0
2019-02-01,Furniture,27,0,0.0
2019-02-01,Office Supplies,49,0,0.0
2019-02-01,Technology,15,0,0.0
2019-03-01,Furniture,46,0,0.0
2019-03-01,Office Supplies,66,0,0.0
2019-03-01,Technology,27,0,0.0
2019-04-01,Furniture,37,0,0.0
2019-04-01,Office Supplies,68,0,0.0
2019-04-01,Technology,26,0,0.0
2019-05-01,Furniture,44,0,0.0
2019-05-01,Office Supplies,96,0,0.0
2019-05-01,Technology,38,0,0.0
2019-06-01,Furniture,27,0,0.0
2019-06-01,Office Supplies,62,0,0.0
2019-06-01,Technology,32,0,0.0
2019-07-01,Furniture,29,0,0.0
2019-07-01,Office Supplies,80,0,0.0
2019-07-01,Technology,30,0,0.0
2019-08-01,Furniture,42,0,0.0
2019-08-01,Office Supplies,86,0,0.0
2019-08-01,Technology,39,0,0.0
2019-09-01,Furniture,49,0,0.0
2019-09-01,Office Supplies,96,0,0.0
2019-09-01,Technology,32,0,0.0
2019-10-01,Furniture,44,0,0.0
2019-10-01,Office Supplies,82,0,0.0
2019-10-01,Technology,31,0,0.0
2019-11-01,Furniture,49,0,0.0
2019-11-01,Office Supplies,104,0,0.0
2019-11-01,Technology,60,0,0.0
2019-12-01,Furniture,56,0,0.0
2019-12-01,Office Supplies,101,0,0.0
2019-12-01,Technology,33,0,0.0
2020-01-01,Furniture,38,3,0.07894736842105263
2020-01-01,Office Supplies,78,10,0.1282051282051282
2020-01-01,Technology,38,2,0.05263157894736842
2020-02-01,Furniture,36,7,0.19444444444444445
2020-02-01,Office Supplies,87,10,0.11494252873563218
2020-02-01,Technology,36,5,0.1388888888888889
2020-03-01,Furniture,50,7,0.14
2020-03-01,Office Supplies,108,13,0.12037037037037036
2020-03-01,Technology,54,5,0.09259259259259259
2020-04-01,Furniture,40,5,0.125
2020-04-01,Office Supplies,102,12,0.11764705882352941
2020-04-01,Technology,29,2,0.06896551724137931
2020-05-01,Furniture,36,5,0.1388888888888889
2020-05-01,Office Supplies,87,9,0.10344827586206896
2020-05-01,Technology,44,4,0.09090909090909091
2020-06-01,Furniture,41,4,0.0975609756097561
2020-06-01,Office Supplies,99,9,0.09090909090909091
2020-06-01,Technology,29,2,0.06896551724137931
2020-07-01,Furniture,45,4,0.08888888888888889
2020-07-01,Office Supplies,79,9,0.11392405063291139
2020-07-01,Technology,55,6,0.10909090909090909
2020-08-01,Furniture,42,5,0.11904761904761904
2020-08-01,Office Supplies,92,25,0.2717391304347826
2020-08-01,Technology,34,3,0.08823529411764706
2020-09-01,Furniture,55,11,0.2
2020-09-01,Office Supplies,148,22,0.14864864864864866
2020-09-01,Technology,55,10,0.18181818181818182
2020-10-01,Furniture,50,5,0.1
2020-10-01,Office Supplies,112,11,0.09821428571428571
2020-10-01,Technology,46,2,0.043478260869565216
2020-11-01,Furniture,72,6,0.08333333333333333
2020-11-01,Office Supplies,152,18,0.11842105263157894
2020-11-01,Technology,64,9,0.140625
2020-12-01,Furniture,59,8,0.13559322033898305
2020-12-01,Office Supplies,129,17,0.13178294573643412
2020-12-01,Technology,42,2,0.047619047619047616
