Product ID,Product Name,total_sales,total_profit,total_quantity,profit_margin
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",14334.89,3717.9714000000004,11,0.25936518522290725
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,14076.824,25199.928,20,1.790171419348569
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,13837.732,6407.8932,31,0.46307394882340547
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,12890.258,2753.7593,21,0.21363104601940475
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,12577.108,762.1543999999994,16,0.060598541413495015
TEC-PH-10001459,Samsung Galaxy Mega 6.3,12370.707999999999,1696.7595999999999,34,0.13715945764785653
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,12268.902,-1232.5588,16,-0.10046202993552317
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,11887.562,70.09800000000007,21,0.005896751579508067
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,10217.894,776.519,25,0.07599599291204234
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,9756.524000000001,-508.3960000000002,16,-0.05210831234566738
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,9323.969000000001,-6239.9792,7,-0.6692406634985594
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,8883.158,1506.3165,35,0.16956993222455347
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,8842.662,-589.5108,6,-0.06666666666666667
FUR-TA-10001095,Chromcraft Round Conference Tables,8080.053,-158.60389999999998,59,-0.019629066789537145
TEC-MA-10000984,Okidata MB760 Printer,7834.4,881.37,7,0.1125
TEC-PH-10002885,Apple iPhone 5,7734.994000000001,552.3555000000001,15,0.07140994550222018
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,7664.85,2062.1875,25,0.2690447301643215
TEC-MA-10000488,Bady BDG101FRU Card Printer,7385.907999999999,1111.9861,11,0.150555097626453
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",7304.126,1732.258,38,0.23716157141867486
OFF-ST-10003716,Tennsco Double-Tier Lockers,7287.64,544.5484,34,0.07472218715523818
